msgtype,time,raw
GPS,2026-03-31T16:14:53.6006259+03:00,"GPS;50814626;0;6;220511600;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.91187;0;0;1"
GPS,2026-03-31T16:14:53.8006259+03:00,"GPS;51014626;0;6;220511800;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.91187;0;0;1"
GPS,2026-03-31T16:14:54.0006259+03:00,"GPS;51214626;0;6;220512000;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.91187;0;0;1"
GPS,2026-03-31T16:14:54.2006259+03:00,"GPS;51414626;0;6;220512200;2412;10;1.21;-35.3632649;149.1652374;584.85;0.002;179.29054;0;0;1"
GPS,2026-03-31T16:14:54.4006259+03:00,"GPS;51614626;0;6;220512400;2412;10;1.21;-35.3632649;149.1652374;584.85;0.002;179.29054;0;0;1"
GPS,2026-03-31T16:14:54.6006259+03:00,"GPS;51814626;0;6;220512600;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.91098;0;0;1"
GPS,2026-03-31T16:14:54.8006259+03:00,"GPS;52014626;0;6;220512800;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.91098;0;0;1"
GPS,2026-03-31T16:14:55.0006259+03:00,"GPS;52214626;0;6;220513000;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.91098;0;0;1"
GPS,2026-03-31T16:14:55.2006259+03:00,"GPS;52414626;0;6;220513200;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.91098;0;0;1"
GPS,2026-03-31T16:14:55.4006259+03:00,"GPS;52614626;0;6;220513400;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.91098;0;0;1"
GPS,2026-03-31T16:14:55.6006259+03:00,"GPS;52814626;0;6;220513600;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.90897;0;0;1"
GPS,2026-03-31T16:14:55.8006259+03:00,"GPS;53014626;0;6;220513800;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.90997;0;0;1"
GPS,2026-03-31T16:14:56.0006259+03:00,"GPS;53214626;0;6;220514000;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.91818;0;0;1"
GPS,2026-03-31T16:14:56.2006259+03:00,"GPS;53414626;0;6;220514200;2412;10;1.21;-35.3632649;149.1652374;584.85;0.002;179.29001;0;0;1"
GPS,2026-03-31T16:14:56.4006259+03:00,"GPS;53614626;0;6;220514400;2412;10;1.21;-35.3632649;149.1652374;584.85;0.002;179.28992;0;0;1"
GPS,2026-03-31T16:14:56.6006259+03:00,"GPS;53814626;0;6;220514600;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.9816;0;0;1"
GPS,2026-03-31T16:14:56.8006259+03:00,"GPS;54014626;0;6;220514800;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.9816;0;0;1"
GPS,2026-03-31T16:14:57.0006259+03:00,"GPS;54214626;0;6;220515000;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.95264;0;0;1"
GPS,2026-03-31T16:14:57.2006259+03:00,"GPS;54414626;0;6;220515200;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.93466;0;0;1"
GPS,2026-03-31T16:14:57.4006259+03:00,"GPS;54614626;0;6;220515400;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.9283;0;0;1"
GPS,2026-03-31T16:14:57.6006259+03:00,"GPS;54814626;0;6;220515600;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.9255;0;0;1"
GPS,2026-03-31T16:14:57.8006259+03:00,"GPS;55014626;0;6;220515800;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.91812;0;0;1"
GPS,2026-03-31T16:14:58.0006259+03:00,"GPS;55214626;0;6;220516000;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.90646;0;0;1"
GPS,2026-03-31T16:14:58.2006259+03:00,"GPS;55414626;0;6;220516200;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.9412;0;0;1"
GPS,2026-03-31T16:14:58.4006259+03:00,"GPS;55614626;0;6;220516400;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.93927;0;0;1"
GPS,2026-03-31T16:14:58.6006259+03:00,"GPS;55814626;0;6;220516600;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.89606;0;0;1"
GPS,2026-03-31T16:14:58.8006259+03:00,"GPS;56014626;0;6;220516800;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.94806;0;0;1"
GPS,2026-03-31T16:14:59.0006259+03:00,"GPS;56214626;0;6;220517000;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.94705;0;0;1"
GPS,2026-03-31T16:14:59.2006259+03:00,"GPS;56414626;0;6;220517200;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.8887;0;0;1"
GPS,2026-03-31T16:14:59.4006259+03:00,"GPS;56614626;0;6;220517400;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.8887;0;0;1"
GPS,2026-03-31T16:14:59.6006259+03:00,"GPS;56814626;0;6;220517600;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.89642;0;0;1"
GPS,2026-03-31T16:14:59.8006259+03:00,"GPS;57014626;0;6;220517800;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.89212;0;0;1"
GPS,2026-03-31T16:15:00.0006259+03:00,"GPS;57214626;0;6;220518000;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.87616;0;0;1"
GPS,2026-03-31T16:15:00.2006259+03:00,"GPS;57414626;0;6;220518200;2412;10;1.21;-35.3632649;149.1652374;584.85;0.002;179.29027;0;0;1"
GPS,2026-03-31T16:15:00.4006259+03:00,"GPS;57614626;0;6;220518400;2412;10;1.21;-35.3632649;149.1652374;584.85;0.002;179.2896;0;0;1"
